date	close	volume	open	high	low
30/12/16	213.69	4641288	216.3	217.5	211.68
3/1/17	216.99	5901494	214.86	220.33	210.96
4/1/17	226.99	11204560	214.75	228	214.31
5/1/17	226.75	5908927	226.42	227.48	221.95
6/1/17	229.01	5524153	226.93	230.31	225.45
9/1/17	231.28	3972716	228.97	231.92	228
10/1/17	229.87	3658981	232	232	226.89
11/1/17	229.73	3649910	229.07	229.98	226.68
12/1/17	229.59	3787547	229.06	230.7	225.58
13/1/17	237.75	6085610	230	237.85	229.59
17/1/17	235.58	4614731	236.7	239.96	234.37
18/1/17	238.36	3767272	236.65	239.71	235.58
19/1/17	243.76	7717244	247.25	248.68	240.75
20/1/17	244.73	4199720	245.46	246	243.01
23/1/17	248.92	6262097	245.85	250.8899	245.5
24/1/17	254.61	4958144	250	254.8	249.65
25/1/17	254.47	5145301	257.31	258.46	251.8
26/1/17	252.51	3143717	254.29	255.74	250.75
27/1/17	252.95	3161774	251.38	253	248.52
30/1/17	250.63	3798638	252.53	255.2899	247.1
31/1/17	251.93	4112013	249.24	255.89	247.7
1/2/17	249.24	3953105	253.05	253.2	249.05
2/2/17	251.55	2498799	248.34	252.42	247.71
3/2/17	251.33	2185230	251.91	252.179	249.68
6/2/17	257.77	3557600	251	257.82	250.63
7/2/17	257.48	4244063	258.19	260	256.42
8/2/17	262.08	3912428	257.35	263.36	256.2
9/2/17	269.2	7812600	266.25	271.18	266.15
10/2/17	269.23	3618336	269.79	270.95	266.11
13/2/17	280.6	7023072	270.74	280.7899	270.51
14/2/17	280.98	7341450	279.03	287.39	278.61
15/2/17	279.76	4943879	280	282.24	276.44
16/2/17	268.95	7063860	277.6	280	268.5
17/2/17	272.23	6251469	265.8	272.89	264.15
21/2/17	277.39	5647575	275.45	281.4	274.01
22/2/17	273.51	8537811	280.31	283.45	272.6
23/2/17	255.99	14877090	264	264.66	255.56
24/2/17	257	8166869	252.66	258.25	250.2
27/2/17	246.23	11450160	248.17	248.36	242.01
28/2/17	249.99	6073890	244.19	251	243.9
1/3/17	250.02	4804963	254.18	254.85	249.11
2/3/17	250.48	3345751	249.71	253.28	248.27
3/3/17	251.57	2925481	250.74	251.9	249
6/3/17	251.21	3353601	247.91	251.7	247.51
7/3/17	248.59	3452587	251.92	253.89	248.32
8/3/17	246.87	3726746	247	250.07	245.32
9/3/17	244.9	3876494	247.63	248.66	243
10/3/17	243.69	3062785	246.21	246.5	243
13/3/17	246.17	3011280	244.82	246.85	242.781
14/3/17	258	7581719	246.11	258.12	246.02
15/3/17	255.73	5233365	257	261	254.27
16/3/17	262.05	7127180	262.4	265.75	259.06
17/3/17	261.5	6491018	264	265.33	261.2
20/3/17	261.92	3601616	260.6	264.55	258.821
21/3/17	250.68	6901555	262.83	264.8	250.24
22/3/17	255.01	4056735	251.56	255.07	250.51
23/3/17	254.78	3309844	255.39	257.672	253.3
24/3/17	263.16	5637668	255.7	263.89	255.01
27/3/17	270.22	6221361	260.6	270.57	259.75
28/3/17	277.45	7978665	277.02	280.68	275
29/3/17	277.38	3672526	278.34	279.6	275.54
30/3/17	277.92	4141437	278.04	282	277.21
31/3/17	278.3	3293698	278.73	279.68	276.3197
3/4/17	298.52	13864850	286.9	299	284.58
4/4/17	303.7	10108230	296.89	304.81	294.53
5/4/17	295	7858565	302.04	304.88	294.2
6/4/17	298.7	5517731	296.88	301.94	294.1
7/4/17	302.54	4566632	297.5	302.69	297.15
10/4/17	312.39	7653623	309.15	313.7299	308.71
11/4/17	308.71	5718053	313.38	313.47	305.5
12/4/17	296.84	6043648	306.34	308.4481	296.32
13/4/17	304	9275682	296.7	307.39	295.3
17/4/17	301.44	4128067	302.7	304	298.68
18/4/17	300.25	3034225	299.7	300.8399	297.9
19/4/17	305.52	3891145	302.46	306.62	302.11
20/4/17	302.51	6145961	306.51	309.15	300.23
21/4/17	305.6	4501958	302	306.4	300.42
24/4/17	308.03	5077771	309.22	310.55	306.0215
25/4/17	313.79	6734162	308	313.98	305.86
26/4/17	310.17	4683131	312.37	314.5	309
27/4/17	308.63	3462663	311.69	313.09	307.5
28/4/17	314.07	4496659	309.83	314.8	308
1/5/17	322.83	8819888	314.88	327.25	314.81
2/5/17	318.89	5316551	324	327.6599	316.5601
3/5/17	311.02	6879259	317.67	321.53	310.45
4/5/17	295.46	14135990	307.435	307.77	290.7601
5/5/17	308.35	8117449	298	308.55	296.8
8/5/17	307.19	7002907	310.9	313.79	305.82
9/5/17	321.26	9663374	309.38	321.99	309.1
10/5/17	325.22	5734524	321.56	325.5	318.12
11/5/17	323.1	4747172	323.4	326	319.6
12/5/17	324.81	4118613	325.48	327	321.53
15/5/17	315.88	7606854	318.38	320.2	312.53
16/5/17	317.01	4141066	317.59	320.06	315.14
17/5/17	306.11	6695657	314.39	314.63	305.5
18/5/17	313.06	5609153	307	313.94	305.31
19/5/17	310.83	4654580	315.5	316.5	310.2
22/5/17	310.35	4324305	312.8	314.37	306.8
23/5/17	303.86	4314267	310.46	310.73	303.48
24/5/17	310.22	5035192	306.51	311	305.4
25/5/17	316.83	5000432	311.02	316.97	307.81
26/5/17	325.14	7793009	317.28	325.49	316.31
30/5/17	335.1	7771536	326	336.28	325.76
31/5/17	341.01	9937556	337.69	342.89	335.16
1/6/17	340.37	7601764	344	344.88	337.29
2/6/17	339.85	5583952	339.77	342.88	335.93
5/6/17	347.32	6769174	338.5	348.44	334.21
6/6/17	352.85	11031920	344.7	359.4929	339.97
7/6/17	359.65	9348692	356.34	360.5	355.14
8/6/17	370	9028677	363.75	371.9	360.22
9/6/17	357.32	17250060	374.42	376.87	354.8
12/6/17	359.01	10507860	357.99	364.5	350.62
13/6/17	375.95	11773370	367.62	376	366.61
14/6/17	380.66	12778480	381.085	384.25	376.31
15/6/17	375.34	10412650	372.5	375.46	366.49
